kind,id,path,bytes,sha256,detail
battle,lightning_atk,demo/assets/minions/lightning_atk/battle.png,4101,a60551cfd8f2a0db6fdab3b9983c2bde38411e31e156ad3436c157bcaf87701c,nearest2x(battle-grid)
icon,lightning_atk,demo/assets/minions/lightning_atk/icon.png,911,63d4b701c7648e12711f496ca52d47847244e3488848636e97198f7b23b23dde,"colors=10;bbox=(3, 2, 29, 29);bboxMidX=16.0(proxy)"
icon,lightning_def,demo/assets/minions/lightning_def/icon.png,928,05751cadde005fb4537e4299fa2be3c74feadc1e089199ff5725295b5204f315,"colors=10;bbox=(3, 2, 28, 29);bboxMidX=15.5(proxy)"
icon,lightning_std,demo/assets/minions/lightning_std/icon.png,834,f6f2447340dcbe2ded2f5e99b6862a172ab0cdb31b3e9b396a37303d99ff63e8,"colors=10;bbox=(5, 2, 26, 29);bboxMidX=15.5(proxy)"
icon,lightning_sustain,demo/assets/minions/lightning_sustain/icon.png,789,c844f69522aeda26c15b5c08ebfcf868c293558f2092ea3dfd26ca9253b8d0f0,"colors=10;bbox=(4, 2, 26, 29);bboxMidX=15.0(proxy)"
icon,lightning_swift,demo/assets/minions/lightning_swift/icon.png,814,054e3d53817c9c2f6fcce61cd223bbc4ed3dda75b7d82c4cac4c6137fc57ae7a,"colors=10;bbox=(3, 2, 29, 29);bboxMidX=16.0(proxy)"
icon,water_atk,demo/assets/minions/water_atk/icon.png,792,3fe7b7693704f826fbd84523d6cdad7f40acc715e718e122e10140526befc5b7,"colors=11;bbox=(3, 2, 27, 29);bboxMidX=15.0(proxy)"
icon,water_def,demo/assets/minions/water_def/icon.png,782,cd682b263a7165cefb1ac0bfc4fdcb85604d62fb6715abde26665a06f2157de8,"colors=11;bbox=(3, 2, 27, 29);bboxMidX=15.0(proxy)"
icon,water_std,demo/assets/minions/water_std/icon.png,723,7e95ab2cbd796ad1b7648ec221f1504dbf1408bed07e59a03a92319064555020,"colors=11;bbox=(6, 2, 25, 29);bboxMidX=15.5(proxy)"
icon,water_sustain,demo/assets/minions/water_sustain/icon.png,808,99ee754eb25e64df43f92b1be5f6889e4a9847de0afa7ced2db1c33a3671f236,"colors=10;bbox=(5, 2, 28, 29);bboxMidX=16.5(proxy)"
battle-grid,water_swift,demo/assets/minions/water_swift/battle-grid.png,3129,abcba704371d0cc7b9060c0f57f15f5c75d90c44436751b14668e5ba3fce9337,patched=25;changed=25
battle,water_swift,demo/assets/minions/water_swift/battle.png,3731,2ba2ba89ef30889cd27643011f1f75012fa5360651dd13b4c1f915466377576e,nearest2x(battle-grid)
icon,water_swift,demo/assets/minions/water_swift/icon.png,760,c2436b71fc00ba37d367de3e861c71f77e25bc4a6b8e3510be7507a7af8477e8,"colors=10;bbox=(2, 2, 28, 29);bboxMidX=15.0(proxy)"
