row,col,x,y,z,u,v,pixel_x,pixel_y,zone,hex
"11","7","1.8","0.1","2.4","0.928571","0.192308","416","672","blue","#2F3A5E"
"12","1","-1.8","0.1","3","0.071429","0.115385","32","736","blue","#2F3A5E"
"12","2","-1.2","0.1","3","0.214286","0.115385","96","736","blue","#2F3A5E"
"12","3","-0.6","0.1","3","0.357143","0.115385","160","736","blue","#2F3A5E"
"12","4","0","0.1","3","0.5","0.115385","224","736","blue","#2F3A5E"
"12","5","0.6","0.1","3","0.642857","0.115385","288","736","blue","#2F3A5E"
"12","6","1.2","0.1","3","0.785714","0.115385","352","736","blue","#2F3A5E"
"12","7","1.8","0.1","3","0.928571","0.115385","416","736","blue","#2F3A5E"
"13","1","-1.8","0.1","3.6","0.071429","0.038462","32","800","blue","#2F3A5E"
"13","2","-1.2","0.1","3.6","0.214286","0.038462","96","800","blue","#2F3A5E"
"13","3","-0.6","0.1","3.6","0.357143","0.038462","160","800","blue","#2F3A5E"
"13","4","0","0.1","3.6","0.5","0.038462","224","800","blue","#2F3A5E"
"13","5","0.6","0.1","3.6","0.642857","0.038462","288","800","blue","#2F3A5E"
"13","6","1.2","0.1","3.6","0.785714","0.038462","352","800","blue","#2F3A5E"
"13","7","1.8","0.1","3.6","0.928571","0.038462","416","800","blue","#2F3A5E"
